,id,facebook_id,page_name,page_type
195,195,851584041550394,Mauricio Osorio Domínguez,2
196,196,418893364920895,Préfet de Loir et Cher,1
197,197,1431984283714112,U.S. Forest Service,1
198,198,111151325577312,Johnnie’s New York Pizzeria,0
199,199,132945996743236,7-Eleven Australia,0
200,200,516725565030981,Brendan Boyle,2
201,201,164169413624390,ABC Lebanon,0
202,202,441907505922632,Paolo De Castro,2
203,203,199793346871881,Benedita da Silva,2
204,204,255750901203533,Norteñita,0
205,205,79167160914,Tablespoon.com,0
206,206,154408241398357,UPRA Colombia,1
207,207,123360237716054,"Woodstock Police, GA",1
208,208,1501439083479639,關務署,1
209,209,294019144024664,Ileana Argentin,2
210,210,796065777123932,Karen Ludwig,2
211,211,888931797828199,Ryszard Wilczyński,2
212,212,351338968253034,Dilma Rousseff,2
213,213,249087185125997,Tuggerah Lakes LAC - NSW Police Force,1
214,214,668623963226740,Travel Alberta,0
215,215,164130194037,Museos del Banco de la República,1
216,216,355565337903738,Dagmar Ziegler MdB,2
217,217,330250343871,Jeremy Corbyn,2
218,218,111101068968572,Secretaría de Gobernación,1
219,219,1592040124383871,352d Special Operations Wing,1
220,220,610012855796352,Sharon Hodgson,2
221,221,17433690754,Glassdoor,0
222,222,152492071518860,NSW SES - Hornsby Unit,1
223,223,141651685862427,500 Startups,0
224,224,374756619256467,Front Street Animal Shelter - City of Sacramento,1
225,225,231656403567259,Lorenz Caffier,2
226,226,148134965281436,Cuarto Milenio,3
227,227,195184929562,Pillsbury,0
228,228,145995252105886,Fort Bragg Wildlife Branch,1
229,229,419439154823845,Peppe De Cristofaro,2
230,230,178872845468327,Metin Hakverdi,2
231,231,179486155473577,Kathleen Lynch,2
232,232,954835224560299,UNLV Police Services,1
233,233,117283058287279,Covert Affairs,3
234,234,554739894638025,Councillor Adam Allan,2
235,235,170179299705530,澎湖縣政府,1
236,236,117737338241724,M&M’S Italia,0
237,237,28613018301,Baci Perugina,0
238,238,160579703997119,European Union in Thailand,1
239,239,617033428501184,Florian Toncar,2
240,240,191810904195780,Go Coast Guard,1
241,241,65727594614,Brandon Creighton,2
242,242,1528846760739532,Arizona Capitol Museum,1
243,243,780521878717133,"Flight Centre Travel Group, The Americas",0
244,244,330566160483024,Sergio Casas,2
245,245,71091028689,Sleep Number Careers,0
246,246,669243103118034,Bodo Ramelow,2
247,247,160312404017880,GO! Das Motormagazin,3
248,248,223049284387547,KLM Argentina,0
249,249,293329607459548,"Metro Railway, Kolkata",1
250,250,146941488726138,Samsung,0
251,251,112856972067554,LowLow,0
252,252,115745095172649,Kingdom of the Netherlands in Canada,1
253,253,1643711989285607,Göç İdaresi Genel Müdürlüğü,1
254,254,390109821076200,Rodriguez Army Health Clinic,1
255,255,111132279529,BoA,0
256,256,984665731564266,Valdis Dombrovskis,2
257,257,1131869050241771,Alex Zeyer,2
258,258,148885741961966,The Profit,3
259,259,163973103682288,Emine SARI Official,0
260,260,430791373663017,宜蘭縣政府衛生局,1
261,261,470872909742841,舞吧舞吧在一起,3
262,262,180048798810876,Windows,0
263,263,1483994771882749,Old Home Love,3
264,264,43394094549,Man v. Food Nation,3
265,265,1554238491460357,聽見幸福,3
266,266,687001264739799,臺北市政府消防局,1
267,267,46612109048,Superbook,3
268,268,183554364998416,Richard Acuña N.,2
269,269,495669723923221,Παύλος Πολάκης / Pavlos Polakis,2
270,270,194091260642071,"Troop Command Family Readiness Group, Brooke Army Medical Center",1
271,271,32533512985,Maxis,0
272,272,877944875582234,Ali Atalan,2
273,273,273432986059547,China Eastern Air(동방항공),0
274,274,571236856234782,Fashion Queens,3
275,275,210015559156513,Al Jazeera America Presents,3
276,276,135119606514471,ASADA,1
277,277,214544208560939,US National Weather Service Detroit / Pontiac Michigan,1
278,278,123151319852,Arnold Bread,0
279,279,212618008920877,UP&GO,0
280,280,1524072161215280,Digicel,0
281,281,120385018004273,صباح الخير يا عرب,3
282,282,117855458231092,Jersey Couture,3
283,283,798227683607349,Louise Schack Elholm,2
284,284,105479482835768,Goodluck Jonathan,2
285,285,197360157500,Canada Explorez sans fin,0
286,286,119861548089482,Subway UK & Ireland,0
287,287,105532425026,Milk,0
288,288,165501993099,Lenovo Malaysia,0
289,289,164854100591430,Ministero degli Affari Esteri e della Cooperazione Internazionale,1
290,290,568839896564552,Marie-Claude Bibeau,2
291,291,1469058970026832,Dagoberto Nogueira,2
292,292,594819180659537,Consulado General del Perú en Frankfurt,1
293,293,486301424808499,Ignazio Cassis,2
294,294,1085101198213262,Azərbaycan Respublikası Müdafiə Nazirliyi,1
295,295,434952569881430,The Voice of the Philippines,3
296,296,205572482794329,US National Weather Service Topeka Kansas,1
297,297,67556672348,Unang Hirit,3
298,298,18560189277,The Secret Life of the American Teenager,3
299,299,171977786196835,Andhra Pradesh Tourism,1
300,300,127922087253478,Dunedin City Council,1
301,301,163157460406747,319th MPAD,1
302,302,113413235475306,Murray Rankin,2
303,303,213172965475179,Austrian Office Taipei 奧地利台北辦事處,1
304,304,12635800428,John Key,2
305,305,946491885372768,Attorney-General's Department,1
306,306,6185812851,American Express,0
307,307,318319690614,British Army,1
308,308,225686640853885,German Embassy Colombo,1
309,309,460968364082048,Embassy of Belgium in Zagreb,1
310,310,362925240789824,Mascotas Argentinas - Protenencia,1
311,311,206759496177133,Ellen Sandell,2
312,312,241601099203475,TrueNorth,0
313,313,221767827981204,Transport for NSW,1
314,314,1249194705159064,Antje Tillmann,2
315,315,558112327599003,Consulat général du Canada à Atlanta,1
316,316,189690641187741,Ain't That America With Lil Duval,3
317,317,1494712497406878,Tadeu Alencar,2
318,318,340627227551,Just Eat UK,0
319,319,131038446496,TracFone Wireless,0
320,320,693749334038000,Atención Primaria de la Salud en Paraguay,1
321,321,325227794269092,"Rachael Harder, MP",2
322,322,252750638220197,Robert von Olberg,2
323,323,38040830889,Oregon Department of Fish and Wildlife,1
324,324,388899148137392,Justis- og beredskapsdepartementet,1
325,325,521441554662321,"Press Information Bureau - PIB,  Government of India",1
326,326,177189402313658,Israel in Boston,1
327,327,5987042235,Ben & Jerry's,0
328,328,213639758781,DiGiorno,0
329,329,243696175809471,USS Iwo Jima LHD 7,1
330,330,6399067073,ThinkGeek,0
331,331,120251049238,Coffee-mate,0
332,332,398675146900419,José Luis Gioja,2
333,333,93342532548,TomTom,0
334,334,144032345752517,Jürgen Coße,2
335,335,175691872601030,German Embassy Singapore,1
336,336,187924271334343,Ministère de la Communication,1
337,337,402556173091789,Moapa Valley National Wildlife Refuge,1
338,338,1463705733891023,U.S. Forest Service- Tahoe National Forest,1
339,339,126834980750296,All Hands Magazine,1
340,340,1515585551990948,JustFab,0
341,341,780666715374556,Préfecture de la Somme,1
342,342,148900938515423,Sofie Carsten Nielsen,2
343,343,119033224823776,USAID Central Asia,1
344,344,352556431573989,Dance Mums with Jennifer Ellison,3
345,345,145096738997224,"Ministère de l'Enseignement Supérieur, de la Recherche, et de l'Innovation",1
346,346,168442899846653,Ministry of Finance (Singapore),1
347,347,526941187343344,New York Power Authority,1
348,348,141409815920808,Microsoft Edge,0
349,349,193589904016370,Compumundo,0
350,350,105097232909305,US National Weather Service Melbourne Florida,1
351,351,411991108813820,American Express,0
352,352,177905578935293,ABB,0
353,353,174876119204869,Martín Insaurralde,2
354,354,497253203641353,"Vårt lille land, TV 2",3
355,355,125530084148237,Nike+ Run Club,0
356,356,262068223869967,NYPD,1
357,357,588920891245585,莫非，這就是愛情,3
358,358,264000913802258,"Ministry of Environment, Forests & Climate Change, Government of India",1
359,359,153053401449492,Crocs,0
360,360,179326165451798,Cristina Cifuentes,2
361,361,1694841994085399,Dominique Anglade,2
362,362,1639000493065240,Dr. Jens Katzek,2
363,363,205844552777903,ABB,0
364,364,20597769245,Loïc Hervé,2
365,365,144178562335775,Betinho Gomes,2
366,366,336815064097,Babel,3
367,367,140501142799399,Motive,3
368,368,197862760252456,Missouri River Recovery Program,1
369,369,643840382338092,Axel Schäfer,2
370,370,108669062546478,UAEmGov,1
371,371,129524083786800,Embajada de Finlandia Chile - Suomen suurlähetystö Chile,1
372,372,155250601296949,Jesper Würtzen,2
373,373,157988744386057,Sea-Doo,0
374,374,220346585088181,Peace Corps Samoa,1
375,375,180220288697411,USAID/Egypt,1
376,376,318186341532740,Caged,3
377,377,300764263285830,128th Mobile Public Affairs Detachment,1
378,378,367062960089953,T.C. Vilnius Büyükelçiliği / Turkish Embassy in Vilnius,1
379,379,308976223304,Tintas Coral,0
380,380,1569656739923017,Waikato Police,1
381,381,268780616614989,Finding Carter,3
382,382,147495111951446,Israel in Ethiopia,1
383,383,62014882904,Bureau of Reclamation,1
384,384,114455935321178,CDF,0
385,385,1519753838265436,UNASUR,1
386,386,146002688803933,Abu Dhabi Fund for Development,1
387,387,138567356175888,ITV News West Country,3
388,388,17156801635,Odwalla,0
389,389,487136531338769,State Representative Nicole Collier,2
390,390,410253955761259,The Real Housewives of Melbourne,3
391,391,529852543796332,NYS Thruway Authority,1
392,392,197070314013807,NSW Government,1
393,393,112015420615,Científicos Industria Argentina,3
394,394,141280905921653,MTN Ghana,0
395,395,118052160630,NSW Maritime,1
396,396,199665613407353,La Voz México,3
397,397,1387807858099325,The Chase USA,3
398,398,371863612949631,"Representative Ramon Romero, Jr.",2
399,399,353037761381505,Abarth,0
400,400,268521702534,"Sylvester Turner, Mayor of Houston",1
401,401,309107999114376,Cheerios UK,0
402,402,60671132809,Deutsche Botschaft Ankara,1
403,403,60265923724,Jean D'Amour,2
404,404,729234427217039,"Embassy of Afghanistan in Rome, Italy",1
405,405,62148248732,U.S. Naval Air Forces,1
406,406,145091098903710,NSW SES,1
407,407,270788920480,Europees Parlement Nederland,1
408,408,240261406065825,Nationwide Building Society,0
409,409,82491933861,Eggland's Best Eggs,0
410,410,407288339301542,The Mindy Project,3
411,411,285785034937884,Wafacash,0
412,412,350005778449581,Gabi Weber,2
413,413,1454152968176814,Figen Yüksekdağ,2
414,414,121003161289904,[N.A!] Nature Addicts,0
415,415,608925165792115,Kementerian Perdagangan,1
416,416,644020885718196,Canyon,0
417,417,24352982198,Ida Auken,2
418,418,1636801383302328,"Department of Dairy Development, Uttarakhand",1
419,419,259639280826,Suomen Huippumalli haussa,3
420,420,121096461288638,Disney On Ice,0
421,421,143112144064,Movistar Guatemala,0
422,422,245945852526795,Andrew J. Ullmann,2
423,423,117039248377028,LION Cereals,0
424,424,209128272561351,House Committee on Rules - Republicans,1
425,425,92378498253,OLD BAY® Seasoning,0
426,426,228759177135310,U.S. Citizenship and Immigration Services,1
427,427,136836306502867,Amran Hussain,2
428,428,195063842004,BBC EastEnders: E20,3
429,429,640307582665941,GoAir,0
430,430,209962952426715,"India in Spain (Embassy of India, Madrid)",1
431,431,308776535260,97th MP BN,1
432,432,222959311062238,Metropolitan Development and Housing Agency,1
433,433,101092033299680,Allianz France,0
434,434,291356520875233,Common Law,3
435,435,1736092590015714,Daniela Kluckert,2
436,436,60190688483,"U.S. Environmental Protection Agency--Region 2 (NJ, NY, PR, USVI)",1
437,437,185899758126310,Lidl Romania,0
438,438,547447862002921,Tancredi Turco,2
439,439,132510385387,Visit Brasil,0
440,440,363269177016530,Kula Segaran,2
441,441,210764367087,在台灣的故事,3
442,442,518861108151536,Klaus Wolframm,2
443,443,361825830503669,Priscila Krause,2
444,444,1542844622636278,Mayor Matt Burnett,2
445,445,410437495817471,Manfred Weber,2
446,446,483119175042310,Decameron Perú,0
447,447,173517072696584,George P. Bush,2
448,448,1457854404494601,Hervé Gaymard,2
449,449,243077088528,Espai Internet TV3,3
450,450,221990947980564,Myrtle Manor Becky,3
451,451,104667776288021,BBC Apprentice,3
452,452,169383494938,BBC EastEnders,3
453,453,10453255451,Henry McMaster,2
454,454,136146939741471,TheHut.com,0
455,455,199383346775333,Dunelm,0
456,456,336333819807014,פנינה תמנו- שטה,2
457,457,151092200743,James Lankford,2
458,458,468441436684509,Smart Dubai,1
459,459,385828341548336,Amber Rudd MP,2
460,460,377875712247089,Thomas Kastrup-Larsen,2
461,461,181497299166,Polydor,0
462,462,330101277066557,Moments With Mandi Welbaum,0
463,463,116106135078207,EL AL Israel Airlines USA,0
464,464,112567882220866,CARD.com,0
465,465,286243574777156,TUC,0
466,466,448309798634823,Senator Gabrielle McFadden,2
467,467,160331670685001,Samsung Österreich,0
468,468,162159877162316,Bhagwant Mann,2
469,469,19437978960,Chris Murphy,2
470,470,388090517914968,Anne McTaggart for Glasgow,2
471,471,93624730972,TornadoVideos.net,0
472,472,97436894557,Dell,0
473,473,285843661522272,Castello,0
474,474,184244914947427,Meteocat. Generalitat de Catalunya.,1
475,475,230408830453098,Burger King France,0
476,476,116022908518631,Justyne Caruana,2
477,477,187248587965806,Nutella,0
478,478,1497254630524271,Préfet de la Saône-et-Loire,1
479,479,127980693947760,Senadora Lúcia Vânia,2
480,480,124468237623419,Veganz,0
481,481,273795515772,KLM Royal Dutch Airlines,0
482,482,312215209342,BBC Eurovision,3
483,483,195090220516735,Can-Am Off-Road,0
484,484,112558978762116,Franco Sarto,0
485,485,2167628580128133,ირაკლი კობახიძე / Irakli Kobakhidze,2
486,486,296374063793548,Gobierno Electrónico Perú - ONGEI,1
487,487,104478386292110,ABB,0
488,488,381608425227664,Andre,2
489,489,142724365878673,Bridgestone,0
490,490,225863677445523,Bath VA Medical Center,1
491,491,326547101058452,Reinhard Brandl,2
492,492,1586251881644270,Keir Starmer,2
493,493,133244940060056,Life in the Lofthouse,0
494,494,299147070277017,Michael Müller,2
495,495,103659786339744,Sydney Weekender,3
496,496,59420116388,National Park Service,1
497,497,335354637212,MomentFeed,0
498,498,144563897770,Children and Clinical Studies Campaign,1
499,499,162013644203,Come Dine With Me,3
500,500,210335135696302,HEMA,0
501,501,211243165615538,Penrith LAC - NSW Police Force,1
502,502,389665107805619,Michael Aastrup Jensen,2
503,503,1452182611690932,Madwire,0
504,504,204771929533342,Kementerian Kemajuan Luar Bandar dan Wilayah,1
505,505,241359762621878,Attorney-General's Department Graduate Program,1
506,506,448991148574135,Freshly,0
507,507,110475388978628,The Walking Dead,3
508,508,75655742917,Northern Ireland Assembly,1
509,509,86223357391,KLM Italia,0
510,510,1466035070293582,Alex Hawke MP,2
511,511,128466880497110,Danuta Jazłowiecka,2
512,512,183769448318423,Fútbol Picante,3
513,513,108381603303,HERSHEY'S,0
514,514,146253315442153,US National Weather Service North Platte Nebraska,1
515,515,568027523319274,Dame Caroline Spelman MP,2
516,516,54000790439,Great American Cookies,0
517,517,107299956000237,National Credit Union Administration,1
518,518,86704161022,Klaus Ernst,2
519,519,289079035382,SM Appliance Center,0
520,520,131676374522,AnadoluJet,0
521,521,131250783739,DanoneCareers,0
522,522,479130188842492,União Europeia na Guiné-Bissau,1
523,523,182554285114879,Shafi Parambil,2
524,524,396307897124355,USS Gerald R. Ford - CVN 78,1
525,525,100230390023684,Maryland Technology Assistance Program,1
526,526,412490915578113,Fugueuse,3
527,527,127567737259528,Barbara L'Italien,2
528,528,222765385226,Dr. Sascha Raabe,2
529,529,100669730063886,RuPaul's Drag Race All Stars,3
530,530,196473247039747,"Charlie Company, 3rd Battalion, 10th Infantry Regiment",1
531,531,108929519124740,Niumba,0
532,532,1435674296649243,Emmanuelle Cosse,2
533,533,59480081949,Oikos Greek Yogurt,0
534,534,245363105596963,Israel Patent Office רשות הפטנטים,1
535,535,123316887684644,Marine Le Pen,2
536,536,143767552329253,Israel en Ecuador,1
537,537,513282775385642,Educación Municba,1
538,538,73676817966,Danny O'Donnell,2
539,539,158848386614,General Motors México,0
540,540,241832895841847,TGI Fridays Frozen Snacks,0
541,541,641842819171898,Akhilesh Yadav,2
542,542,824740377593403,Oliver Dowden,2
543,543,291524437542463,נחמן שי - Nachman Shai,2
544,544,1606651289601603,National Film Archive of India,1
545,545,154769827890758,I Love Lucy,3
546,546,1572863999608405,NSW SES Barraba Unit,1
547,547,145733658805847,Gap,0
548,548,369244243546,Kementerian Kewangan Malaysia,1
549,549,253241831523931,Емил Димитриев,2
550,550,128963690507194,Le Meilleur du Hier,3
551,551,320245531412063,Embassy of Denmark in Serbia,1
552,552,115487945197152,Janine Freeman,2
553,553,155001591234832,Silke Gebel,2
554,554,10128918116,Gavin Newsom,2
555,555,178858105636453,Mitchell,0
556,556,852770481440368,Leif Mikkelsen,2
557,557,128401833854581,Nagy József,2
558,558,132498593482361,Acces Direct,3
559,559,186346874865275,Ministerio de Agricultura y Riego del Perú,1
560,560,121679347910269,US National Weather Service Des Moines Iowa,1
561,561,265320196867710,Specsavers Optikko,0
562,562,97640646271,Steven MacKinnon,2
563,563,354582784551872,JustFab,0
564,564,677465509070469,Herbert Mertin,2
565,565,1030085483693704,Kementerian Perindustrian RI,1
566,566,302939779892879,Activia,0
567,567,78118717073,Air Force Space Command,1
568,568,127428534470290,The Orville,3
569,569,1958757694264942,KAYAK,0
570,570,843812142384790,Embassy of Belgium in Vietnam,1
571,571,933561246680727,Ambasada României în Republica Cehă,1
572,572,140386962704024,Governo de Pernambuco,1
573,573,613261812061807,The Graham Norton Show BBC America,3
574,574,96546260636,Internet Week New York,0
575,575,360795670176,Clémentine Autain,2
576,576,163557541539,The Russell Howard Hour,3
577,577,1419354464978596,Giovanni Toti,2
578,578,199610690111142,Visitar Israel,1
579,579,55933404846,PosteMobile,0
580,580,489536651069106,House of Cards,3
581,581,365088703514291,Dario Parrini,2
582,582,101341336622558,"House Committee on Science, Space, and Technology",1
583,583,269475816560244,Markus Paschke,2
584,584,145143367357,MasterChef TVNZ 1,3
585,585,172068079470271,Израиль в Узбекистане - Israel in Uzbekistan,1
586,586,1491609724389056,Embassy of Switzerland in the Philippines,1
587,587,1520573734848193,Deichmann Bosna i Hercegovina,0
588,588,130727956973250,Anna Krupka,2
589,589,756473267816137,Niky Cantard,2
590,590,13614384845,Verizon Careers,0
591,591,270456363157200,Polizei Sachsen,1
592,592,246436435527378,Virginia Department of Health,1
593,593,318814151575251,Filippo Gallinella,2
594,594,291482090931929,Professora Dorinha,2
595,595,186303478171356,Embassy of Belgium in Norway and Iceland,1
596,596,341985855200,Standard Chartered UAE,0
597,597,126453380744933,Wilfred,3
598,598,385524381526993,Superpop,3
599,599,170945532921576,Louis Nielsen,0
600,600,475865579194090,Marcus Held,2
601,601,391477497562861,Danilo Forte,2
602,602,291297097615087,Jumia,0
603,603,8605796091,Diet Coke,0
604,604,165412256810749,한국안의 이스라엘,1
605,605,104443426309892,IDBI BANK,0
606,606,776784779020038,Kelvin Davis,2
607,607,256154354583303,Jet,0
608,608,181139475269385,Don't Trust the B in Apt 23,3
609,609,491007197579019,Carlos Brandão,2
610,610,265045206959890,L'Oréal Talent,0
611,611,1237829402953491,Государственная Дума,1
612,612,262302123951896,Riftworld,3
613,613,310175149000473,European Parliament in the UK,1
614,614,152024974863322,Memphis District Corps of Engineers,1
